Manufacturer_name,gear,odometer,year,fuel,Price,Country
Maruti,Manual,19.7,2012,Petrol,1680,India
Hyundai,Manual,18.9,2016,Petrol,7700,India
Hyundai,Manual,17,2010,Petrol,3010,India
Maruti,Manual,20.92,2012,Petrol,3164,India
Ford,Manual,22.77,2015,Diesel,7980,India
Maruti,Manual,18.9,2013,Petrol,4900,India
Hyundai,Manual,20.36,2013,Petrol,4410,India
Maruti,Manual,20.51,2018,Petrol,5740,India
Hyundai,Automatic,18.15,2019,Petrol,14700,India
Mahindra,Manual,18.49,2017,Diesel,8050,India
Tata,Manual,19.09,2015,Diesel,4270,India
Renault,Manual,20.37,2019,Diesel,16100,India
Maruti,Manual,16.6,2017,Petrol,7154,India
Nissan,Automatic,19.34,2016,Petrol,5740,India
Hyundai,Manual,22.32,2013,Diesel,5950,India
Renault,Manual,19.64,2016,Diesel,10500,India
Mini,Automatic,14.41,2017,Petrol,45500,India
Maruti,Manual,28.09,2016,Diesel,9100,India
Maruti,Manual,25.2,2016,Diesel,8778,India
Mercedes-Benz,Automatic,19.27,2014,Diesel,19950,India
Maruti,Manual,28.4,2014,Diesel,5950,India
Toyota,Manual,12.99,2013,Diesel,8470,India
Maruti,Manual,21.4,2015,Petrol,8400,India
Maruti,Manual,20.85,2016,Petrol,8050,India
Fiat,Manual,17.8,2012,Diesel,3640,India
Volkswagen,Manual,16.09,2013,Petrol,5950,India
Maruti,Manual,20.92,2013,Petrol,3220,India
Hyundai,Manual,19.67,2019,Diesel,17150,India
Mahindra,Manual,14.02,2010,Diesel,5250,India
Honda,Manual,17.4,2015,Petrol,10500,India
Mahindra,Manual,13.6,2011,Diesel,4900,India
Maruti,Manual,26.59,2015,Diesel,8400,India
Maruti,Manual,26.59,2013,Diesel,5460,India
Honda,Manual,17.7,2007,Petrol,2030,India
Hyundai,Manual,17.19,2018,Petrol,9800,India
Toyota,Manual,13,2013,Diesel,16100,India
Renault,Manual,23.01,2017,Petrol,4760,India
Honda,Manual,18.6,2016,Petrol,6510,India
Hyundai,Manual,17.92,2009,Petrol,1750,India
Mahindra,Manual,15.1,2012,Diesel,8400,India
Maruti,Manual,23.4,2013,Diesel,5320,India
Mahindra,Manual,14,2009,Diesel,5600,India
Chevrolet,Manual,22.1,2014,Diesel,4200,India
Hyundai,Manual,19.1,2015,Petrol,7000,India
