,price,fuel,gear,mileage,hp
0,1.2,Petrol,Manual,19.7 ,46.3 
1,5.5,Petrol,Manual,18.9 ,82 
2,2.15,Petrol,Manual,17.0 ,80 
3,2.26,Petrol,Manual,20.92 ,67.1 
4,5.7,Diesel,Manual,22.77 ,98.59 
5,3.5,Petrol,Manual,18.9 ,67.1 
6,3.15,Petrol,Manual,20.36 ,78.9 
7,4.1,Petrol,Manual,20.51 ,67.04 
8,10.5,Petrol,Automatic,18.15 ,118.35 
9,5.75,Diesel,Manual,18.49 ,100 
10,3.05,Diesel,Manual,19.09 ,69.01 
11,11.5,Diesel,Manual,20.37 ,108.49 
12,5.11,Petrol,Manual,16.6 ,85 
13,4.1,Petrol,Automatic,19.34 ,76 
14,4.25,Diesel,Manual,22.32 ,126.32 
15,7.5,Diesel,Manual,19.64 ,108.45 
16,32.5,Petrol,Automatic,14.41 ,189.08 
17,6.5,Diesel,Manual,28.09 ,88.5 
18,6.27,Diesel,Manual,25.2 ,74 
19,14.25,Diesel,Automatic,19.27 ,170 
20,4.25,Diesel,Manual,28.4 ,74 
21,6.05,Diesel,Manual,12.99 ,100.6 
22,6.0,Petrol,Manual,21.4 ,83.1 
23,5.75,Petrol,Manual,20.85 ,83.14 
24,2.6,Diesel,Manual,17.8 ,76 
25,4.25,Petrol,Manual,16.09 ,103.2 
26,2.3,Petrol,Manual,20.92 ,67.1 
27,12.25,Diesel,Manual,19.67 ,126.2 
28,3.75,Diesel,Manual,14.02 ,118.3 
29,7.5,Petrol,Manual,17.4 ,117.3 
30,3.5,Diesel,Manual,13.6 ,63 
31,6.0,Diesel,Manual,26.59 ,74 
32,3.9,Diesel,Manual,26.59 ,74 
33,1.45,Petrol,Manual,17.7 ,78 
34,7.0,Petrol,Manual,17.19 ,81.86 
35,11.5,Diesel,Manual,13.0 ,168.5 
36,3.4,Petrol,Manual,23.01 ,67 
37,4.65,Petrol,Manual,18.6 ,88.76 
38,1.25,Petrol,Manual,17.92 ,62.1 
39,6.0,Diesel,Manual,15.1 ,140 
40,3.8,Diesel,Manual,23.4 ,74 
41,4.0,Diesel,Manual,14.0 ,112 
42,3.0,Diesel,Manual,22.1 ,74 
43,5.0,Petrol,Manual,19.1 ,82 
44,8.5,Diesel,Manual,22.54 ,88.73 
45,5.98,Petrol,Manual,18.6 ,81.83 
46,7.0,Petrol,Automatic,18.0 ,117.3 
47,9.0,Diesel,Automatic,18.49 ,100 
48,75.0,Petrol,Manual,16.1 ,37 
49,3.0,Diesel,Manual,19.09 ,69 
50,4.1,Diesel,Manual,23.4 ,74 
51,3.0,Diesel,Manual,20.5 ,91.7 
52,2.25,Petrol,Manual,12.2 ,75 
53,3.0,Diesel,Manual,17.8 ,
54,5.9,Petrol,Automatic,21.4 ,83.1 
55,8.5,Diesel,Manual,21.0 ,74.96 
56,1.08,Petrol,Manual,26.0 ,35 
57,5.5,Petrol,Manual,18.15 ,82 
58,3.25,Petrol,Manual,17.6 ,88.73 
59,6.25,Petrol,Manual,15.4 ,94 
60,6.0,Petrol,Manual,20.85 ,83.14 
61,4.45,Petrol,Manual,20.51 ,67.04 
62,5.3,Petrol,Manual,20.89 ,81.80 
63,3.85,Petrol,Manual,14.53 ,138.1 
64,4.1,CNG,Manual,26.6 km/kg,58.16 
65,3.5,Petrol,Manual,22.5 ,68 
66,2.65,Diesel,Manual,25.0 ,69.01 
67,5.2,Diesel,Manual,22.32 ,126.3 
68,7.5,Diesel,Manual,22.54 ,88.73 
69,5.6,Diesel,Manual,26.59 ,74 
70,2.0,Diesel,Manual,19.1 ,70 
71,6.0,Diesel,Manual,25.4 ,73.97 
72,6.55,Petrol,Manual,18.6 ,81.83 
73,1.25,Petrol,Manual,17.8 ,63 
74,4.25,Petrol,Automatic,14.53 ,138.1 
75,2.2,Petrol,Manual,16.8 ,34.2 
76,5.5,Petrol,Manual,18.6 ,81.83 
77,11.5,Diesel,Manual,15.4 ,120 
78,5.0,Diesel,Manual,20.54 ,103.6 
79,9.9,Diesel,Manual,17.3 ,121 
80,5.51,Diesel,Manual,25.0 ,113.42 
81,16.5,Diesel,Automatic,15.1 ,152.87 
82,3.5,Diesel,Manual,24.0 ,70 
83,5.0,Petrol,Manual,18.16 ,86.8 
84,5.75,Petrol,Manual,21.21 ,81.80 
85,5.45,Diesel,Manual,24.0 ,73.97 
86,5.25,Petrol,Manual,18.16 ,86.8 
87,4.0,Petrol,Manual,18.0 ,86.7 
88,1.55,Petrol,Manual,14.0 ,64 
89,5.4,Diesel,Manual,23.5 ,45 
90,5.45,Diesel,Manual,26.59 ,74 
91,5.45,Petrol,Manual,16.8 ,116.3 
92,2.4,Petrol,Manual,25.17 ,53.3 
93,7.25,Diesel,Manual,24.3 ,88.5 
94,4.8,Petrol,Manual,18.16 ,86.8 
95,3.75,Petrol,Manual,18.5 ,82.9 
96,2.25,Diesel,Manual,17.8 ,75 
97,4.0,Petrol,Manual,23.84 ,84 
98,5.5,Petrol,Manual,18.5 ,82.9 
99,10.5,Diesel,Manual,15.4 ,120 
100,4.5,Petrol,Manual,18.78 ,74 
101,7.75,Petrol,Automatic,11.74 ,186 
102,3.5,Petrol,Manual,20.51 ,67.04 
103,5.5,Diesel,Manual,25.1 ,98.6 
104,10.8,Petrol,Manual,16.8 ,113.4 
105,5.75,Petrol,Manual,21.01 ,81.80 
106,9.5,Diesel,Manual,12.99 ,100.6 
107,2.3,Petrol,Manual,22.74 ,47.3 
108,2.7,Diesel,Manual,21.9 ,90 
109,1.65,Diesel,Manual,25.44 ,56.3 
110,1.3,Petrol,Manual,15.6 ,70 
111,3.7,Petrol,Manual,19.1 ,85.8 
112,5.7,Petrol,Manual,21.4 ,83.1 
113,3.9,Diesel,Manual,23.59 ,67.05 
114,3.65,Diesel,Manual,22.07 ,73.9 
115,2.8,Petrol,Manual,18.5 ,82.85 
116,12.5,Diesel,Automatic,22.0 ,126.2 
117,5.9,Petrol,Manual,18.6 ,81.83 
118,4.75,Petrol,Automatic,23.1 ,67.04 
119,6.85,Diesel,Manual,23.0 ,98.96 
120,3.8,Diesel,Automatic,19.08 ,126.32 
121,3.3,Petrol,Manual,23.01 ,67 
122,6.5,Petrol,Manual,21.01 ,81.80 
123,3.25,Petrol,Manual,20.51 ,67.04 
124,6.4,Petrol,Automatic,21.21 ,81.80 
125,9.49,Petrol,Manual,18.27 ,118.35 
126,7.5,Diesel,Manual,20.45 ,83.8 
127,6.6,Diesel,Manual,23.9 ,126.2 
128,4.35,Petrol,Manual,16.1 ,85 
129,3.85,Diesel,Manual,21.9 ,88.76 
130,10.0,Diesel,Manual,14.66 ,194.3 
131,12.5,Diesel,Automatic,22.0 ,126.2 
132,5.5,Petrol,Manual,20.14 ,81.86 
133,1.55,Petrol,Manual,18.9 ,67.1 
134,4.15,Diesel,Manual,25.2 ,74 
135,2.51,Petrol,Manual,20.92 ,67.1 
136,11.5,Diesel,Manual,15.4 ,120 
137,3.1,Petrol,Manual,19.81 ,68.05 
138,3.5,Petrol,Manual,19.44 ,67 
139,11.25,Diesel,Manual,15.4 ,120 
140,26.0,Diesel,Automatic,18.59 ,261.49 
141,2.0,Petrol,Manual,17.8 ,76.8 
142,4.8,Petrol,Manual,20.62 ,67 
143,8.5,Diesel,Automatic,28.4 ,74.02 
144,11.0,Diesel,Automatic,17.01 ,126.2 
145,5.75,Petrol,Manual,22.0 ,81.80 
146,1.6,Petrol,Manual,0.0 ,
147,3.4,Petrol,Manual,17.5 ,85.8 
148,5.59,Diesel,Manual,25.0 ,69.01 
149,9.25,Diesel,Manual,23.0 ,98.96 
150,4.0,Petrol,Manual,18.9 ,82 
151,5.6,Diesel,Manual,25.4 ,73.97 
152,7.25,Petrol,Manual,17.8 ,117.3 
153,6.0,Diesel,Manual,23.4 ,74 
154,5.5,Diesel,Manual,12.05 ,120 
155,5.85,Diesel,Manual,25.83 ,99 
156,4.11,Petrol,Manual,21.79 ,67.05 
157,4.5,Petrol,Manual,20.85 ,83.14 
158,12.9,Petrol,Automatic,13.7 ,153.86 
159,4.55,Petrol,Manual,16.47 ,74 
160,7.1,Petrol,Manual,20.7 ,81.86 
161,4.5,Diesel,Manual,18.49 ,100 
162,4.65,Petrol,Manual,17.71 ,78.9 
163,7.7,Petrol,Manual,16.8 ,116.3 
164,3.2,Diesel,Manual,19.09 ,69.01 
165,3.25,Diesel,Manual,19.09 ,69.01 
166,29.0,Diesel,Automatic,10.91 ,197 
167,7.2,Diesel,Manual,25.8 ,98.6 
168,3.75,Diesel,Manual,25.32 ,77 
169,1.45,Petrol,Manual,14.49 ,92.7 
170,4.0,Petrol,Manual,19.44 ,67 
171,6.0,Diesel,Manual,19.87 ,83.8 
172,6.0,Petrol,Manual,18.7 ,88.7 
173,2.7,LPG,Manual,14.4 km/kg,61.7 
174,5.0,Petrol,Manual,18.6 ,81.83 
175,6.5,Diesel,Manual,23.9 ,126.2 
176,3.8,Petrol,Manual,18.2 ,82.4 
177,7.28,Diesel,Manual,13.5 ,175.56 
178,6.6,Petrol,Automatic,21.21 ,81.80 
179,1.8,Diesel,Manual,18.0 ,75 
180,20.9,Diesel,Automatic,22.69 ,190 
181,2.5,Diesel,Manual,25.44 ,56.3 
182,12.75,Petrol,Manual,16.8 ,113.4 
183,4.55,Petrol,Manual,14.53 ,138.1 
184,4.95,Diesel,Manual,28.4 ,74 
185,2.2,Petrol,Manual,21.1 ,85.80 
186,8.0,Diesel,Manual,25.1 ,88.5 
187,12.95,Diesel,Automatic,13.01 ,194.3 
188,4.75,Petrol,Manual,18.9 ,82 
