price,year,manufacturer_name,fuel,odometer,gear,country
15000,2013,ford,gas,128000.0,automatic,US
19900,2004,ford,diesel,88000.0,automatic,US
14000,2012,honda,gas,95000.0,automatic,US
22500,2001,ford,diesel,144700.0,manual,US
15000,2017,dodge,gas,90000.0,automatic,US
3000,2004,chrysler,gas,176144.0,automatic,US
9500,2003,chrysler,gas,30376.0,automatic,US
17500,2008,toyota,gas,201300.0,manual,US
22950,2014,ford,gas,166380.0,automatic,US
10950,2009,lexus,gas,191955.0,automatic,US
32000,2008,chevrolet,diesel,109600.0,automatic,US
4000,2002,toyota,gas,155000.0,automatic,US
3000,2004,chevrolet,gas,131500.0,automatic,US
2500,1995,bmw,gas,110661.0,automatic,US
12500,2008,gmc,gas,177326.0,automatic,US
2500,2008,honda,gas,204561.0,automatic,US
3500,1996,chevrolet,gas,237000.0,automatic,US
9000,2008,mazda,gas,56700.0,automatic,US
19500,2008,ram,diesel,161000.0,manual,US
15000,2009,toyota,gas,213800.0,automatic,US
8950,2011,ford,gas,164000.0,automatic,US
1200,2005,chevrolet,gas,256806.0,automatic,US
8888,2005,nissan,gas,53320.0,automatic,US
16500,2011,ford,gas,201766.0,automatic,US
9400,2008,mercedes-benz,gas,129473.0,automatic,US
7900,2013,nissan,gas,152400.0,automatic,US
7300,2007,lexus,gas,181000.0,automatic,US
28900,2017,audi,gas,94601.0,automatic,US
17000,2019,chevrolet,gas,14898.0,automatic,US
5950,2007,mitsubishi,gas,72000.0,manual,US
8900,2013,toyota,hybrid,142900.0,automatic,US
4000,2002,toyota,gas,160000.0,automatic,US
10800,2013,toyota,hybrid,147000.0,automatic,US
3500,1994,ford,diesel,190000.0,manual,US
16000,2016,dodge,gas,62000.0,automatic,US
1500,2005,toyota,gas,222100.0,automatic,US
10500,2008,infiniti,gas,122904.0,automatic,US
9500,2014,toyota,gas,136128.0,automatic,US
12900,2014,nissan,gas,120211.0,automatic,US
3200,2006,chevrolet,gas,178762.0,automatic,US
6950,2011,volkswagen,gas,116000.0,automatic,US
8995,2005,nissan,gas,53320.0,automatic,US
9988,2014,kia,gas,121259.0,automatic,US
24888,2019,ford,gas,8176.0,automatic,US
16888,2008,toyota,gas,188096.0,automatic,US
19888,2015,mercedes-benz,gas,111261.0,automatic,US
31888,2015,gmc,gas,109947.0,automatic,US
29950,2014,gmc,gas,139029.0,automatic,US
14700,2015,honda,gas,70672.0,automatic,US
2450,2000,infiniti,gas,246653.0,automatic,US
3500,1995,honda,gas,215000.0,manual,US
17500,2001,ram,diesel,178000.0,manual,US
5500,2010,hyundai,gas,114988.0,automatic,US
6900,2008,ford,hybrid,103550.0,automatic,US
10900,2010,honda,gas,97804.0,automatic,US
8900,2014,fiat,gas,84778.0,automatic,US
8500,2004,bmw,gas,116014.0,automatic,US
19888,2015,mercedes-benz,gas,111261.0,automatic,US
31888,2015,gmc,gas,109947.0,automatic,US
23888,2014,ram,diesel,110789.0,automatic,US
3500,2008,acura,gas,242000.0,automatic,US
16888,2008,toyota,gas,188096.0,automatic,US
27900,2014,chevrolet,diesel,170525.0,automatic,US
7500,2012,chevrolet,gas,212000.0,automatic,US
9500,2013,hyundai,gas,125000.0,automatic,US
19900,2011,cadillac,gas,133257.0,automatic,US
34900,2020,nissan,gas,15400.0,automatic,US
6900,2001,jeep,gas,144445.0,automatic,US
26990,2008,ram,diesel,172000.0,automatic,US
11990,2011,audi,diesel,70000.0,automatic,US
16888,2008,toyota,gas,188096.0,automatic,US
8500,2011,toyota,gas,114500.0,automatic,US
8950,2011,ford,gas,164000.0,automatic,US
32500,2014,chevrolet,gas,80000.0,automatic,US
5999,2013,mazda,gas,91000.0,automatic,US
4500,2005,toyota,gas,170000.0,automatic,US
31888,2015,gmc,gas,109947.0,automatic,US
19888,2015,mercedes-benz,gas,111261.0,automatic,US
24888,2019,ford,gas,8176.0,automatic,US
9988,2014,kia,gas,121259.0,automatic,US
12999,2014,dodge,gas,137000.0,automatic,US
31900,2019,ford,gas,29497.0,automatic,US
11500,2013,chevrolet,gas,228699.0,automatic,US
32900,2019,ford,gas,6735.0,automatic,US
31500,2019,gmc,gas,24585.0,automatic,US
29900,2019,ford,gas,23004.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
17200,2014,ford,gas,45026.0,automatic,US
23900,2017,ford,gas,108482.0,automatic,US
